date,open,high,low,close,vwap,vol
1738800000,1.0000,1.0000,0.9998,0.9999,0.9999,1230795.37486751
1738814400,0.9999,1.0000,0.9996,0.9996,0.9997,9154544.33607240
1738828800,0.9996,0.9997,0.9995,0.9995,0.9996,3763793.48890371
1738843200,0.9995,0.9999,0.9995,0.9998,0.9996,3688246.45112926
1738857600,0.9998,1.0000,0.9995,0.9999,0.9997,2542912.32329201
1738872000,0.9998,1.0002,0.9998,0.9998,0.9999,1225405.75920281
1738886400,0.9999,1.0000,0.9998,0.9998,0.9999,748473.30437738
1738900800,0.9999,0.9999,0.9995,0.9997,0.9997,2290128.98898379
1738915200,0.9998,0.9998,0.9995,0.9997,0.9997,3719648.48335256
1738929600,0.9997,0.9998,0.9992,0.9995,0.9995,6468757.78130124
1738944000,0.9995,0.9998,0.9994,0.9998,0.9996,3507589.10103981
1738958400,0.9998,1.0000,0.9996,0.9998,0.9997,3153713.57839102
1738972800,0.9997,0.9998,0.9996,0.9997,0.9996,1714359.44471607
1738987200,0.9998,1.0000,0.9997,0.9999,0.9998,4817539.43158093
1739001600,0.9999,1.0001,0.9998,1.0000,0.9999,4377520.46968623
1739016000,1.0000,1.0002,0.9999,1.0001,1.0000,883537.56800555
1739030400,1.0001,1.0002,0.9999,0.9999,1.0000,826321.64645914
1739044800,0.9999,1.0000,0.9997,0.9998,0.9998,1943981.50164161
1739059200,0.9998,0.9999,0.9997,0.9998,0.9998,1628424.25019975
1739073600,0.9998,0.9999,0.9997,0.9997,0.9997,675620.81445086
1739088000,0.9997,1.0000,0.9996,0.9998,0.9997,4337238.49887535
1739102400,0.9997,0.9999,0.9997,0.9998,0.9997,3121004.16490556
1739116800,0.9998,0.9999,0.9997,0.9998,0.9997,1005992.91462398
1739131200,0.9999,0.9999,0.9997,0.9998,0.9998,2418145.83753015
1739145600,0.9998,0.9999,0.9996,0.9998,0.9997,682214.88887922
1739160000,0.9998,1.0000,0.9998,0.9998,0.9998,3797515.52231064
1739174400,0.9998,1.0000,0.9996,0.9998,0.9997,10652385.77376229
1739188800,0.9998,0.9999,0.9996,0.9997,0.9997,3223614.65471050
1739203200,0.9997,0.9999,0.9990,0.9998,0.9997,3394656.10593860
1739217600,0.9998,0.9999,0.9997,0.9998,0.9997,3049726.74626128
1739232000,0.9998,0.9999,0.9997,0.9998,0.9997,609301.94286279
