Generation,Max,Min,Mean,Std,Cost Time
1,0.004276057239621878,0.0002955682575702667,0.0019251855555921793,0.0006028673378750682,472.4694640636444
2,0.004276057239621878,0.000809427525382489,0.0023961919359862804,0.0006415150710381567,460.4419937133789
3,0.0049589648842811584,0.0010688496986404061,0.0030165021307766438,0.0006857748958282173,469.06847405433655
4,0.0053537460044026375,0.0009565301588736475,0.0032664684113115072,0.0009856716496869922,461.7193992137909
5,0.0056848288513720036,0.0016361578600481153,0.002890951931476593,0.0013221282279118896,475.46221375465393
6,0.006240449845790863,0.0016361578600481153,0.002644899534061551,0.0013948584673926234,487.98328280448914
7,0.006240449845790863,0.0016361578600481153,0.0025736112147569656,0.0014846909325569868,467.1841390132904
8,0.006240449845790863,0.0016361578600481153,0.0024556717835366726,0.0014357452746480703,486.5989112854004
9,0.006310541648417711,0.0016361578600481153,0.0024810100439935923,0.0014960593543946743,479.0564329624176
10,0.006397368386387825,0.001635348773561418,0.0025487577077001333,0.0015297600766643882,490.2480528354645
11,0.006442469544708729,0.0016361578600481153,0.002582729794085026,0.0015714773908257484,475.18895387649536
12,0.006498765200376511,0.0016361578600481153,0.002687480766326189,0.0016883041244000196,489.1380603313446
13,0.0070329648442566395,0.001635348773561418,0.0027482181321829557,0.0017892387695610523,482.8576099872589
14,0.0070329648442566395,0.0016132756136357784,0.00277877738699317,0.0018272299785166979,486.5770058631897
15,0.007062926888465881,0.0016361578600481153,0.002830719342455268,0.0018602407071739435,492.4889407157898
16,0.007062926888465881,0.0016361578600481153,0.0029195358511060476,0.00194773159455508,491.8906195163727
17,0.007514146622270346,0.0016361578600481153,0.0029592150822281837,0.002009975491091609,464.4597043991089
18,0.007818680256605148,0.0016361578600481153,0.0029916849453002214,0.002080790000036359,488.1960620880127
19,0.007925949059426785,0.0016361578600481153,0.0030342196114361286,0.002126402221620083,440.27794003486633
20,0.007925949059426785,0.0016361578600481153,0.0030413276981562376,0.0021712249144911766,473.931015253067
21,0.00798108708113432,0.0016361578600481153,0.003833339549601078,0.002582998713478446,478.2483093738556
22,0.008454766124486923,0.0016361578600481153,0.003571993438526988,0.002467180136591196,492.3688268661499
23,0.008614462800323963,0.0016361578600481153,0.003575698472559452,0.002574095968157053,459.8182678222656
24,0.008663058280944824,0.0016361578600481153,0.003498222678899765,0.0026165652088820934,483.96161675453186
25,0.008663058280944824,0.0016361578600481153,0.003593775676563382,0.0026877829805016518,490.23822951316833
26,0.008767654187977314,0.0016361578600481153,0.0035224652383476496,0.0026881699450314045,474.7498652935028
27,0.008990180678665638,0.0016361578600481153,0.0037290460895746946,0.0028105692472308874,470.53285121917725
28,0.009046576917171478,0.0016361578600481153,0.003636316629126668,0.0028252785559743643,485.4018096923828
29,0.009046576917171478,0.0016361578600481153,0.003587675280869007,0.002799092559143901,498.72657561302185
30,0.009064815007150173,0.0016361578600481153,0.003580894088372588,0.002778959460556507,485.5224235057831
31,0.009122518822550774,0.0016361578600481153,0.004881749860942364,0.003282811725512147,494.83486771583557
32,0.009122518822550774,0.0016361578600481153,0.004279262851923704,0.003078189678490162,489.49692010879517
33,0.009238839149475098,0.0016361578600481153,0.00398836238309741,0.0029295438434928656,487.66865372657776
34,0.009238839149475098,0.0016361578600481153,0.003825696650892496,0.0028184978291392326,449.75631761550903
35,0.009238839149475098,0.0016361578600481153,0.00375424069352448,0.0027582994662225246,442.88566160202026
36,0.009239761158823967,0.0016361578600481153,0.003677297616377473,0.00268159038387239,447.5529730319977
37,0.009259872138500214,0.0016361578600481153,0.0036518280394375324,0.002646292094141245,452.6397862434387
38,0.009401935152709484,0.0016361578600481153,0.004111868795007467,0.002971014939248562,35521.55236172676
